Rok;rodzaj;label;profil;n
2012;publiczna;Uczelnia publiczna;akademicka;94
2012;niepubliczna;Uczelnia niepubliczna;akademicka;18
2012;koœcielna;Uczelnia koœcielna;akademicka;4
2012;publiczna;Uczelnia publiczna;zawodowa;40
2012;niepubliczna;Uczelnia niepubliczna;zawodowa;314
2012;koœcielna;Uczelnia koœcielna;zawodowa;3
2013;publiczna;Uczelnia publiczna;akademicka;94
2013;niepubliczna;Uczelnia niepubliczna;akademicka;18
2013;koœcielna;Uczelnia koœcielna;akademicka;4
2013;publiczna;Uczelnia publiczna;zawodowa;40
2013;niepubliczna;Uczelnia niepubliczna;zawodowa;308
2013;koœcielna;Uczelnia koœcielna;zawodowa;3
2014;publiczna;Uczelnia publiczna;akademicka;94
2014;niepubliczna;Uczelnia niepubliczna;akademicka;18
2014;koœcielna;Uczelnia koœcielna;akademicka;4
2014;publiczna;Uczelnia publiczna;zawodowa;40
2014;niepubliczna;Uczelnia niepubliczna;zawodowa;303
2014;koœcielna;Uczelnia koœcielna;zawodowa;3
2015;publiczna;Uczelnia publiczna;akademicka;95
2015;niepubliczna;Uczelnia niepubliczna;akademicka;19
2015;koœcielna;Uczelnia koœcielna;akademicka;4
2015;publiczna;Uczelnia publiczna;zawodowa;39
2015;niepubliczna;Uczelnia niepubliczna;zawodowa;292
2015;koœcielna;Uczelnia koœcielna;zawodowa;3
2016;publiczna;Uczelnia publiczna;akademicka;98
2016;niepubliczna;Uczelnia niepubliczna;akademicka;20
2016;koœcielna;Uczelnia koœcielna;akademicka;4
2016;publiczna;Uczelnia publiczna;zawodowa;36
2016;niepubliczna;Uczelnia niepubliczna;zawodowa;287
2016;koœcielna;Uczelnia koœcielna;zawodowa;3
2017;publiczna;Uczelnia publiczna;akademicka;97
2017;niepubliczna;Uczelnia niepubliczna;akademicka;18
2017;koœcielna;Uczelnia koœcielna;akademicka;4
2017;publiczna;Uczelnia publiczna;zawodowa;35
2017;niepubliczna;Uczelnia niepubliczna;zawodowa;270
2017;koœcielna;Uczelnia koœcielna;zawodowa;3
